X.1,Variation par rapport au mois précédent,Variation annuelle,Poids*,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Total,0.3778999999999968,2.5675999999999988,100,0,0.3071397682956416,0.2773911441695134,-0.2401561113229036,-0.25030216524672255,-0.3596431347169471,-0.5836443640640567,-0.7160355919631485,-0.6863854732149264,-0.9007331755277193,-0.7779954746629443,-0.7017523121674856,-1.0629715329308596,-1.0215007688344855,-1.0009131448531576,-1.1578322118496231,-1.11429283481732,-1.1566501473147923,-1.1506413192628315,-1.3959197102365835,-1.494622098893501,-1.4401486249141868,-1.2781072782668588,-0.9452576063390268,-0.7385933235024993,-0.47617499677394903,-0.4024929741039358,-0.4869120829651763,-0.24252024039253683,-0.22518329388192626,0.07693270014075893,0.11554680827798336,0.013593742150348476,0.1848945943203546,0.8452746477693722,1.4183789363980281,1.7906307594863051
Habillement et chaussures,2.009699999999995,0.8495000000000061,2.691,0,0.6492721725759338,-0.7534229750774841,-8.979567774169624,-6.161207756287112,-2.3360238957312873,-0.5479707788220196,-0.1156466929663793,-0.5425667277488202,-7.418583057808604,-5.0054286149416924,-0.8064809310688617,-0.552490530628674,0.37111092551744207,-1.7133789566251068,-8.745326724015115,-6.4837804776198595,-1.969432722020514,-0.12105074403957872,-0.04156206552656272,-1.7445259419015287,-8.279202755083489,-6.17574956644772,-1.94093863454367,-0.05423702168006628,0.41159218082937343,-1.453493227741447,-8.763995264086148,-7.080682482522789,-4.088312020083421,-1.2074615206999653,0.14089834979931481,-0.9489513684530948,-8.37824427293404,-5.310904883788339,-1.1941970317021173,0.7804432304434812
Transports,1.6842000000000041,10.365200000000002,10.976,0,0.8285653439341161,0.4009370341449454,-0.6506235063060473,-1.62693736541965,-2.4590994060718003,-2.5313172901729786,-2.870542580629916,-3.0598424078937967,-3.059179858498382,-2.2661082321762365,-3.095809375073955,-4.778590189536445,-5.314119400866062,-5.956697664513385,-5.259979650268562,-5.726982324128642,-6.052388727195293,-6.037717990582337,-5.9916234826435755,-5.350086368046192,-4.454414235347016,-3.8522514848205276,-2.5954899316154325,-2.080310451716713,-1.503324578216322,-1.5241475592153648,-0.5462246515700002,-0.2990937270769649,-0.27022550341922624,0.8534582712193242,1.554340881663947,1.5070159248479627,1.4789049004992734,3.6455360734483264,6.136248550673187,7.730342396062568
Equipement et entretien ménager,1.5936999999999983,5.154399999999995,4.518,0,-0.566447849445268,-0.603502400101732,-0.7514225768509419,-0.41266649712305536,-0.31978176558476434,-1.2304495024954747,-0.5591958864481654,0.15984121181293176,-1.199752837206347,-0.7128778968115199,-0.63648393044474,-1.4338024922910648,-1.990415487808761,-1.9559438280827806,-1.483274787805584,-0.9163302285659825,-0.8265250977524943,-1.2255817465111107,-0.7772514861557198,-0.6580411355183315,-0.7503298153034308,-1.1113384938169588,-1.1897192993610304,0.49064993483167996,0.3267357027052782,0.9132506278411796,0.20722732619130113,0.06814858378101007,1.0201425755793707,1.0092149601042593,0.9474242616905713,1.2312442381663828,1.0330570302317312,2.6278928378421256,4.02791906411926,5.611131862542521
Logement et énergie,0.40619999999999834,4.1480999999999995,26.595,0,0.26539755654317787,-0.05028059169160315,0.09306407726616328,0.1467433570641674,0.23370978802181241,0.0725719872129389,0.4499263284372148,0.4662200390649076,0.4250359361286655,0.270495588702758,-0.013294868180878439,-0.20162217384090297,-0.17683174294722903,-0.11965381362794858,-0.074871099755498,-0.21541684909624337,-0.30458243118157213,-0.35826171097956205,-0.23071094557501226,-0.03858510614902855,0.134248180202448,0.49230996835221674,0.7508101872677031,0.6954315634165198,1.1307635252792352,1.2479183035348314,1.3661726573542552,1.5897863424717968,1.7101398860039865,2.343995217845915,2.6740678098254023,2.541518973676162,3.5211408396358763,4.079825187477624,4.435887747329531,4.841931014628358
Loisirs et culture,0.2061999999999955,2.2702000000000027,6.775,0,0.2446796082111291,1.2872766603730241,0.09968079533591379,-0.4468676864633778,-1.912307280655142,-2.388382005449458,-3.4868492954508667,-3.5195423351309927,-4.027462153331314,-3.6071634501238066,-3.6692519606402243,-4.526337211274296,-4.043478916286986,-3.4615993397325155,-3.076443298774805,-3.369267412105657,-4.222207147621802,-3.984782190867051,-5.2186382359702606,-5.783747319547615,-5.965867335978928,-5.809562572782056,-5.45182346135438,-5.318036382548144,-5.0519696849785305,-4.298239663534915,-4.12638921864577,-4.2466091570660325,-4.622155140250314,-4.417423223175703,-4.559689764723174,-4.5267140762850175,-4.399710567671775,-3.981673054528599,-3.3734129272235975,-3.179139014196508
Boissons alcoolisées et tabacs,0.10759999999999081,1.0244,3.482,0,0.2398829444137789,0.3520780910623671,1.172074749510159,0.9544688197738793,1.3484682020930165,0.8532096621488279,0.2701594325436929,0.48128477619195564,1.162050092905261,1.0180595707624178,1.4504361738214726,0.9689488793142687,1.3849214988380396,1.6855599378268664,1.7924896082789559,1.8201333583105992,1.9392141276776584,1.6408033901565915,1.9850845260818204,1.259157625067715,1.5784277490595429,1.3733779548687863,1.266245766101477,1.4900285044528516,1.5136218881795145,1.7290001164480344,1.1582022449155147,2.9962584741257388,1.6937619295945012,2.0912041232729024,2.999397508012123,2.06831955364963,2.5426174479654406,3.0402049485350346,2.4183724615594997,2.527327315164058
Communications,0.10489999999998645,-0.0718000000000103,3.029,0,0.9502751941587348,0.8842206853451984,-0.8116398328464953,-0.9579881457866435,-1.1422090288998419,-1.251772495614503,-1.0183073828768556,-0.32394396837294437,-0.2476055240555013,-0.30317832937467415,-0.12558267394190636,-0.18471530308933382,-0.3624098425173514,-0.3721004740498728,-1.4375755226513576,-0.32028526054943995,-0.4267833234119678,-1.1137304382736346,-1.1662378397406883,-1.11600477016394,-1.0118799231869247,-1.176917311225509,-1.239510880205998,-1.1582282361270728,-1.656306920099766,-1.5667180204215185,-1.559598372764981,-1.5553463609701055,-1.5306253621626382,-1.530032058191253,-1.7421382279592592,-1.0869328755663759,-1.4318402509280332,-1.1302440654770294,-1.3329562556981926,-1.2292269447021056
Autres biens et services,0.050600000000002865,-0.12709999999999866,5.883,0,1.1039576903292243,1.0546272183642031,0.7844650205761354,1.2889218428498168,1.5207047325102963,1.6541280864197603,1.6320248199588576,1.0984318737139915,0.6020126028806629,0.4431704925411708,0.9096498842592524,0.8169166345164598,0.6832923418210015,0.7927035108024683,0.42136863425928084,0.8726771476337518,0.7663805298354021,0.861826453189309,0.7481955697016502,0.46939300411523277,0.8486649627057687,0.8851353523662482,1.065879790380663,0.8069701646090692,1.0648750964506064,0.9474263760288295,0.5626286008230608,0.6938416280864317,0.7134331597222285,1.081553015689309,0.6161787872942455,0.8435410236625529,0.9169841499485614,1.0247878086419888,0.6284360532407476,0.679273566100818
Santé,0.0028000000000076852,-0.4959999999999951,16.671,0,-0.04358252301206278,-0.08330204966623,0.18076841931143406,-0.08845271147676215,-0.12351683226373211,-0.13144092735684865,-0.15422270074951427,-0.12817223813092937,-0.6562141248976019,-0.6598790188781578,-0.6734490317250987,-0.7560577230706969,-0.7639818181637992,-0.8195495350041995,-0.7775518310107543,-0.9123604987821636,-0.9499999504744068,-0.7542748016747538,-0.765566637182431,-0.9488113362104258,-0.895422745520662,-0.9895213747512628,-1.012402199332584,-1.0450890915916489,-1.1058074702425529,-1.1519653241598604,-1.124330042522672,-1.23922942137267,-1.2424981105985609,-1.28092997180012,-1.2955895477223578,-1.4303982154937813,-1.4544676543390693,-1.4884422120507566,-1.53915642064662,-1.5363829873640213
Enseignement,0,0.6727000000000061,0.949,0,0,0,0,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,0.9128998575595801,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,1.6705487871211915,2.3544865688121632,2.3544865688121632,2.3544865688121632,2.3544865688121632,2.3544865688121632,2.3544865688121632,2.3544865688121632,2.3544865688121632,2.3544865688121632
Alimentation et boissons non alcoolisées,-0.04010000000000957,-0.2510000000000048,12.608,0,0.5150945572069361,0.8977193316190011,0.7103494974723219,0.7941287499839973,0.5451565242846357,-0.4374262619373184,-1.0639965068979933,-1.0206284232449008,-1.184540066688271,-1.1126870371812316,-0.42451440066787427,0.2778514268592289,0.9047173632993832,1.8949881279870908,1.3945795809263188,0.9616872550072912,1.0113634235553661,0.3411294034621619,-0.6894539662576591,-1.4361735157026914,-1.4477054834013643,-1.6099415417944982,-1.9383562116401976,-1.6876098370641301,-1.1737966096014958,-0.9431572556282362,-0.6665871585132948,-0.20254866342523314,-0.7329206137372353,-1.6226562754109892,-2.3312316240066053,-2.827007671222617,-2.945777082136189,-2.7084353879619982,-1.895480947119509,-1.9350050415397249
Restaurants et hôtels,-0.8508999999999958,1.1734000000000009,5.823,0,-0.1861863477291621,0.03994688359516374,0.02689690416633539,0.25821027999677426,-0.1437490100445018,-0.6633573512725803,-1.193425599676445,-0.854126134526382,1.604350524439809,1.0059442158207617,0.8329074656840305,0.07909682188171985,-0.12860704918050203,-0.2589076071418219,0.14972609985923668,0.7458411907159928,0.11067577973626896,0.23938244708033096,-0.6614646061645715,-0.3818364209983116,0.6759092398835236,0.5498922629560781,0.9687866408058028,1.3047987065577473,1.4221489032538273,1.3204387582396606,1.2886605640579631,1.679363001614817,1.5731700392395993,1.5785494200728465,0.7881789102370647,1.263855641326785,3.5499928773012925,4.234568897416196,3.3213691918874844,2.473718237993765